locationType,location,major,minor,occupation,ethnicity,total,median,mean
Region,Waikato Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,75,30600,30500
Region,Waikato Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,33,43700,42800
Region,Waikato Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,402,18000,21100
Region,Waikato Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,48,11500,15500
Region,Waikato Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,12,18100,21900
Region,Waikato Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,147,41800,41900
Region,Waikato Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,12,9000,18400
Region,Waikato Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,48,33500,32900
Region,Waikato Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,12,34000,33900
Region,Waikato Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,12,9300,10100
Region,Waikato Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,12,30200,31400
Region,Bay of Plenty Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,54,51900,68700
Region,Bay of Plenty Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,18,37700,38800
Region,Bay of Plenty Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,12,52400,58200
Region,Bay of Plenty Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,72,33400,34900
Region,Bay of Plenty Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,36,37800,39300
Region,Bay of Plenty Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,12,22400,23200
Region,Bay of Plenty Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,9,20900,21000
Region,Bay of Plenty Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,12,22000,18300
Region,Bay of Plenty Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,9,14900,19700
Region,Bay of Plenty Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,9,56100,51800
Region,Bay of Plenty Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,48,34200,36200
Region,Bay of Plenty Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,12,45200,55400
Region,Bay of Plenty Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,204,18900,21300
Region,Bay of Plenty Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,42,8600,9800
Region,Bay of Plenty Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,9,19800,24500
Region,Bay of Plenty Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,9,30700,34400
Region,Bay of Plenty Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,66,39100,37400
Region,Bay of Plenty Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,45,34900,32500
Region,Bay of Plenty Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Bay of Plenty Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,9,3400,5800
Region,Bay of Plenty Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,12,35700,35900
Region,Gisborne Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
