locationType,location,major,minor,occupation,ethnicity,total,median,mean
Territorial Authority,Queenstown-Lakes District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Queenstown-Lakes District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,6,65200,67200
Territorial Authority,Dunedin City,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,15,37700,31200
Territorial Authority,Dunedin City,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,21,32700,31500
Territorial Authority,Dunedin City,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,6,43300,62500
Territorial Authority,Dunedin City,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,9,49200,44600
Territorial Authority,Dunedin City,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,15,31700,30400
Territorial Authority,Dunedin City,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,24,28900,30800
Territorial Authority,Dunedin City,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,6,41700,40300
Territorial Authority,Dunedin City,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,105,15500,17700
Territorial Authority,Dunedin City,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,12,14300,13800
Territorial Authority,Dunedin City,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,45,40400,38500
Territorial Authority,Dunedin City,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,9,35600,39000
Territorial Authority,Dunedin City,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Dunedin City,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Clutha District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Southland District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Gore District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,9,25300,30400
Territorial Authority,Invercargill City,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,6,48700,47400
Territorial Authority,Invercargill City,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,36,19500,21500
Territorial Authority,Invercargill City,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,12,37400,34900
Territorial Authority,Invercargill City,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Invercargill City,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
